OTU	lineage	X12	X11	X10	X14	X17	X15	X16	X13	X24	X26	X23	X25	X18	X20	X19	X21
OTU278	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0
OTU281	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0
OTU283	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	0	0	0	119	0	0	83	137
OTU285	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	217	0	0	0	151	0	0	0	0	0	0	0	0
OTU286	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU290	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432
OTU294	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	410	0	0	0	717	0	0	0	0	0	0	101	0
OTU295	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU300	r__root;p__Arthropoda;c__Insecta	0	0	0	201	0	65	0	0	0	0	0	0	0	0	0	0
OTU304	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0
OTU305	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	944	0	178	36	0	0	0	0	0	0	0
OTU311	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0
OTU315	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	89	0	0	0	0	154	0	0	0
OTU317	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU318	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0
OTU319	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU321	r__root;p__Arthropoda;c__Arachnida;o__Araneae;f__Pholcidae	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0
OTU323	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0
OTU324	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0
OTU327	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	155	33	0	0	0	0	0	177	0
OTU328	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU331	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU332	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Simuliidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0
OTU333	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Stratiomyidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219
OTU337	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Tenthredinidae	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0
OTU339	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0
OTU344	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0
OTU349	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	155	64	58	0	0	0	0	0	0	0	0	0	0	0	38	0
OTU351	r__root;p__Arthropoda;c__Collembola	0	0	0	0	41	0	0	0	0	195	0	0	0	0	0	0
OTU359	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0
OTU360	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0
OTU362	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU364	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0
OTU368	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0
OTU371	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU372	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Eumenidae	0	0	0	0	0	0	134	0	0	0	39	0	0	0	0	0
OTU376	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Micropezidae	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0
OTU378	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	107
OTU380	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU384	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166
OTU386	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0
OTU388	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0
OTU393	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU395	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU400	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	0	0	0	0	0	0	0	0	0	0	203	59	0
OTU402	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0
OTU407	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0
OTU413	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Elachistidae	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU416	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0
OTU418	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU421	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0
